"Time","Fridge (Kitchen, 180l)","Halogen lamp 1 (0,5kW)","Power supply for wood boiler ()","Site consumption ()","Total site light consumption ()","Vertical freezer (Cellar, 145l)","Washing machine ()","Water heater ()"
"1998-01-25 04:10:00.0","0","0","10","232","0","15","0","0"
"1998-01-25 04:20:00.0","0","0","11","230","0","14","0","0"
"1998-01-25 04:30:00.0","12","0","10","230","0","0","0","0"
"1998-01-25 04:40:00.0","0","0","11","220","0","0","0","0"
"1998-01-25 04:50:00.0","0","0","11","219","0","0","0","0"
"1998-01-25 05:00:00.0","0","0","10","224","0","4","0","0"
"1998-01-25 05:10:00.0","0","0","11","237","0","20","0","0"
"1998-01-25 05:20:00.0","12","0","11","238","0","5","0","0"
"1998-01-25 05:30:00.0","0","0","11","225","0","0","0","0"
"1998-01-25 05:40:00.0","0","0","10","221","0","0","0","0"
"1998-01-25 05:50:00.0","0","0","11","222","0","0","0","0"
"1998-01-25 06:00:00.0","0","0","11","233","0","12","0","0"
"1998-01-25 06:10:00.0","10","0","10","245","0","17","0","0"
"1998-01-25 06:20:00.0","2","0","11","224","1","0","0","0"
"1998-01-25 06:30:00.0","0","0","11","221","0","0","0","0"
"1998-01-25 06:40:00.0","0","0","11","220","0","0","0","0"
"1998-01-25 06:50:00.0","0","0","10","221","0","0","0","0"
"1998-01-25 07:00:00.0","1","0","11","236","0","21","0","0"
"1998-01-25 07:10:00.0","12","0","10","233","0","8","0","0"
"1998-01-25 07:20:00.0","0","0","11","215","0","0","0","0"
"1998-01-25 07:30:00.0","0","0","10","214","0","0","0","0"
"1998-01-25 07:40:00.0","0","0","11","213","0","0","0","0"
"1998-01-25 07:50:00.0","0","0","10","222","0","9","0","0"
"1998-01-25 08:00:00.0","11","0","10","240","0","19","0","0"
"1998-01-25 08:10:00.0","1","0","11","220","0","1","0","0"
"1998-01-25 08:20:00.0","0","0","11","217","0","0","0","0"
"1998-01-25 08:30:00.0","0","0","10","217","0","0","0","0"
"1998-01-25 08:40:00.0","0","0","11","216","0","0","0","0"
"1998-01-25 08:50:00.0","0","0","10","234","0","18","0","0"
"1998-01-25 09:00:00.0","13","0","11","237","0","11","0","0"
"1998-01-25 09:10:00.0","0","0","10","216","0","0","0","0"
"1998-01-25 09:20:00.0","0","0","11","216","0","0","0","0"
"1998-01-25 09:30:00.0","0","0","10","215","0","0","0","0"
"1998-01-25 09:40:00.0","0","0","11","220","0","6","0","0"
"1998-01-25 09:50:00.0","0","0","10","230","0","19","0","0"
"1998-01-25 10:00:00.0","13","0","10","242","7","3","0","0"
