"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-01-31 08:00:00.0","6","0","0","8","26","0","0","0"
"1998-01-31 08:10:00.0","0","0","0","17","30","0","0","0"
"1998-01-31 08:20:00.0","0","0","0","8","21","0","0","0"
"1998-01-31 08:30:00.0","0","0","0","17","46","0","15","0"
"1998-01-31 08:40:00.0","5","0","0","7","42","0","14","0"
"1998-01-31 08:50:00.0","0","0","0","17","47","1","16","0"
"1998-01-31 09:00:00.0","0","0","0","7","59","3","16","0"
"1998-01-31 09:10:00.0","8","0","60","17","165","2","17","0"
"1998-01-31 09:20:00.0","24","0","27","11","94","0","18","0"
"1998-01-31 09:30:00.0","18","0","0","12","62","3","16","0"
"1998-01-31 09:40:00.0","17","0","0","16","74","12","17","0"
"1998-01-31 09:50:00.0","18","0","0","10","77","19","17","0"
"1998-01-31 10:00:00.0","19","0","0","14","80","19","16","0"
"1998-01-31 10:10:00.0","0","0","0","18","56","8","17","0"
"1998-01-31 10:20:00.0","0","0","0","12","55","12","15","0"
"1998-01-31 10:30:00.0","7","0","0","12","55","7","15","0"
"1998-01-31 10:40:00.0","0","0","0","16","39","3","7","0"
"1998-01-31 10:50:00.0","0","0","0","8","22","0","0","0"
"1998-01-31 11:00:00.0","3","0","0","8","26","0","0","0"
"1998-01-31 11:10:00.0","4","0","0","16","35","1","0","0"
"1998-01-31 11:20:00.0","0","0","0","8","23","1","0","0"
"1998-01-31 11:30:00.0","1","0","0","16","33","0","0","0"
"1998-01-31 11:40:00.0","5","0","0","10","30","0","0","0"
"1998-01-31 11:50:00.0","0","0","0","13","27","0","0","0"
"1998-01-31 12:00:00.0","1","0","0","8","24","0","0","0"
"1998-01-31 12:10:00.0","6","0","0","17","36","0","0","0"
"1998-01-31 12:20:00.0","0","0","0","8","23","0","0","0"
"1998-01-31 12:30:00.0","21","0","0","15","53","0","0","0"
"1998-01-31 12:40:00.0","20","0","0","8","45","6","0","0"
"1998-01-31 12:50:00.0","18","0","0","7","53","6","0","0"
"1998-01-31 13:00:00.0","24","0","0","8","61","7","0","0"
"1998-01-31 13:10:00.0","17","0","0","15","62","7","0","0"
"1998-01-31 13:20:00.0","16","0","0","8","54","6","0","0"
"1998-01-31 13:30:00.0","22","0","0","10","62","8","0","0"
"1998-01-31 13:40:00.0","0","0","0","14","46","7","0","0"
"1998-01-31 13:50:00.0","0","0","0","7","40","7","0","0"
"1998-01-31 14:00:00.0","6","0","0","8","59","21","0","0"
"1998-01-31 14:10:00.0","0","0","0","8","55","22","0","0"
"1998-01-31 14:20:00.0","1","0","0","16","66","23","0","0"
"1998-01-31 14:30:00.0","4","0","0","8","51","15","0","0"
"1998-01-31 14:40:00.0","0","0","0","18","59","7","10","0"
"1998-01-31 14:50:00.0","2","0","0","7","58","7","16","0"
"1998-01-31 15:00:00.0","4","0","0","8","45","8","12","0"
"1998-01-31 15:10:00.0","0","0","0","14","35","7","0","0"
"1998-01-31 15:20:00.0","1","0","0","11","33","6","0","0"
"1998-01-31 15:30:00.0","4","0","0","7","32","7","0","0"
"1998-01-31 15:40:00.0","0","0","0","8","29","7","0","0"
"1998-01-31 15:50:00.0","6","0","0","8","35","7","0","0"
"1998-01-31 16:00:00.0","24","0","0","11","54","7","0","0"
"1998-01-31 16:10:00.0","18","0","0","14","59","9","5","0"
"1998-01-31 16:20:00.0","23","0","0","16","78","12","15","0"
"1998-01-31 16:30:00.0","18","0","0","10","71","14","17","0"
"1998-01-31 16:40:00.0","16","0","0","16","64","3","16","0"
"1998-01-31 16:50:00.0","20","0","0","9","65","8","15","0"
"1998-01-31 17:00:00.0","0","0","0","16","57","10","16","0"
"1998-01-31 17:10:00.0","0","0","0","18","58","10","16","0"
"1998-01-31 17:20:00.0","5","0","0","17","178","11","15","111"
"1998-01-31 17:30:00.0","0","0","0","12","373","10","16","312"
"1998-01-31 17:40:00.0","0","0","0","16","459","9","17","317"
"1998-01-31 17:50:00.0","6","0","0","16","472","11","16","47"
"1998-01-31 18:00:00.0","0","0","0","8","442","29","16","15"
"1998-01-31 18:10:00.0","0","0","0","16","482","41","18","39"
"1998-01-31 18:20:00.0","5","0","0","11","322","29","17","39"
"1998-01-31 18:30:00.0","0","0","27","12","319","60","16","34"
