"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-28 08:10:00.0","0","0","0","115","52","0","0"
"1998-01-28 08:20:00.0","0","0","0","74","47","0","0"
"1998-01-28 08:30:00.0","2","0","0","78","49","0","0"
"1998-01-28 08:40:00.0","0","0","0","57","30","0","0"
"1998-01-28 08:50:00.0","0","0","0","48","17","0","0"
"1998-01-28 09:00:00.0","0","0","0","57","17","0","0"
"1998-01-28 09:10:00.0","0","0","0","58","18","0","0"
"1998-01-28 09:20:00.0","0","0","0","67","22","0","0"
"1998-01-28 09:30:00.0","0","0","0","59","17","0","0"
"1998-01-28 09:40:00.0","0","0","0","58","17","0","0"
"1998-01-28 09:50:00.0","0","0","0","58","17","0","0"
"1998-01-28 10:00:00.0","0","0","0","49","17","0","0"
"1998-01-28 10:10:00.0","0","0","0","41","17","0","0"
"1998-01-28 10:20:00.0","0","0","0","44","17","0","0"
"1998-01-28 10:30:00.0","0","0","0","55","17","0","0"
"1998-01-28 10:40:00.0","0","0","0","55","16","0","0"
"1998-01-28 10:50:00.0","0","0","0","30","4","0","0"
"1998-01-28 11:00:00.0","0","0","0","25","0","0","0"
"1998-01-28 11:10:00.0","0","0","0","30","5","0","0"
"1998-01-28 11:20:00.0","0","0","0","39","13","0","0"
"1998-01-28 11:30:00.0","0","0","0","43","18","0","0"
"1998-01-28 11:40:00.0","0","0","0","39","13","0","0"
"1998-01-28 11:50:00.0","0","0","0","52","13","0","0"
"1998-01-28 12:00:00.0","0","0","0","55","12","0","0"
"1998-01-28 12:10:00.0","0","0","0","53","3","0","0"
"1998-01-28 12:20:00.0","0","0","0","62","5","0","0"
"1998-01-28 12:30:00.0","0","0","0","41","0","0","0"
"1998-01-28 12:40:00.0","0","0","0","25","0","0","0"
"1998-01-28 12:50:00.0","0","0","0","29","4","0","0"
"1998-01-28 13:00:00.0","0","0","0","46","12","0","0"
"1998-01-28 13:10:00.0","0","0","0","50","12","0","0"
"1998-01-28 13:20:00.0","0","0","0","39","1","0","0"
"1998-01-28 13:30:00.0","0","0","0","48","8","0","0"
"1998-01-28 13:40:00.0","0","0","0","51","0","0","0"
"1998-01-28 13:50:00.0","0","0","0","45","0","0","0"
"1998-01-28 14:00:00.0","0","0","0","32","0","0","0"
"1998-01-28 14:10:00.0","0","0","0","32","6","0","0"
"1998-01-28 14:20:00.0","0","0","0","29","0","0","0"
"1998-01-28 14:30:00.0","0","0","0","51","7","0","0"
"1998-01-28 14:40:00.0","0","0","0","50","7","0","0"
"1998-01-28 14:50:00.0","0","0","0","41","0","0","0"
"1998-01-28 15:00:00.0","0","0","0","44","0","0","0"
"1998-01-28 15:10:00.0","0","0","0","47","0","0","0"
"1998-01-28 15:20:00.0","0","0","0","30","0","0","0"
"1998-01-28 15:30:00.0","0","0","0","26","0","0","0"
"1998-01-28 15:40:00.0","0","0","0","25","0","0","0"
"1998-01-28 15:50:00.0","0","0","0","26","0","0","0"
"1998-01-28 16:00:00.0","0","0","0","24","0","0","0"
"1998-01-28 16:10:00.0","0","0","0","26","0","0","0"
"1998-01-28 16:20:00.0","0","0","0","25","0","0","0"
"1998-01-28 16:30:00.0","0","0","0","26","0","0","0"
"1998-01-28 16:40:00.0","0","0","0","27","1","0","0"
"1998-01-28 16:50:00.0","0","0","0","39","0","0","0"
"1998-01-28 17:00:00.0","0","0","0","51","0","0","0"
"1998-01-28 17:10:00.0","0","0","0","43","0","0","0"
"1998-01-28 17:20:00.0","0","0","0","42","0","0","0"
"1998-01-28 17:30:00.0","0","0","0","41","0","0","0"
"1998-01-28 17:40:00.0","0","0","0","67","28","0","0"
"1998-01-28 17:50:00.0","0","0","0","92","62","0","0"
"1998-01-28 18:00:00.0","0","0","0","166","63","0","0"
"1998-01-28 18:10:00.0","0","0","0","95","63","0","0"
"1998-01-28 18:20:00.0","0","0","0","55","16","0","0"
"1998-01-28 18:30:00.0","0","0","5","68","13","0","0"
"1998-01-28 18:40:00.0","0","0","44","131","43","0","0"
"1998-01-28 18:50:00.0","0","0","21","99","52","0","0"
"1998-01-28 19:00:00.0","0","0","0","61","37","0","0"
"1998-01-28 19:10:00.0","0","0","0","53","30","0","0"
"1998-01-28 19:20:00.0","0","0","0","60","36","0","0"
"1998-01-28 19:30:00.0","0","0","0","78","51","0","0"
"1998-01-28 19:40:00.0","0","0","0","99","43","0","0"
"1998-01-28 19:50:00.0","0","0","0","92","37","0","0"
"1998-01-28 20:00:00.0","0","0","0","105","45","0","0"
"1998-01-28 20:10:00.0","0","0","0","128","57","0","0"
"1998-01-28 20:20:00.0","0","0","0","106","57","0","0"
"1998-01-28 20:30:00.0","0","0","0","91","53","0","0"
"1998-01-28 20:40:00.0","0","0","0","98","50","0","0"
"1998-01-28 20:50:00.0","0","0","0","114","67","0","0"
"1998-01-28 21:00:00.0","0","0","0","105","53","0","0"
