"Time","Electric Cooker (hot plate+oven) ()","Fridge freezer (267l/48l)","Microwave oven (1,2kW)","Non halogen lamp 1 (0,5kW)","Site consumption ()","Total site light consumption ()","TV (70cm)","TV ()","Vertical freezer (288l)","Washing machine (800rpm)"
"1998-01-28 03:40:00.0","0","25","0","0","40","0","0","0","0","0"
"1998-01-28 03:50:00.0","0","8","0","0","24","0","0","0","0","0"
"1998-01-28 04:00:00.0","0","2","15","0","70","13","0","0","22","0"
"1998-01-28 04:10:00.0","0","2","0","0","37","18","0","0","0","0"
"1998-01-28 04:20:00.0","0","2","0","0","53","32","0","0","0","0"
"1998-01-28 04:30:00.0","0","21","0","0","71","33","0","0","0","0"
"1998-01-28 04:40:00.0","0","18","0","0","65","15","0","0","13","0"
"1998-01-28 04:50:00.0","0","2","0","0","44","2","0","0","9","0"
"1998-01-28 05:00:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-28 05:10:00.0","0","2","0","0","31","0","0","0","0","0"
"1998-01-28 05:20:00.0","0","7","0","0","26","0","0","0","0","0"
"1998-01-28 05:30:00.0","0","25","0","0","51","2","0","0","9","0"
"1998-01-28 05:40:00.0","0","10","0","0","195","25","2","0","14","0"
"1998-01-28 05:50:00.0","0","2","0","0","99","9","13","0","0","0"
"1998-01-28 06:00:00.0","0","2","0","0","46","6","12","0","0","0"
"1998-01-28 06:10:00.0","0","2","0","0","51","7","14","0","0","0"
"1998-01-28 06:20:00.0","0","17","0","0","74","6","13","0","9","0"
"1998-01-28 06:30:00.0","0","23","0","0","80","6","12","0","12","0"
"1998-01-28 06:40:00.0","0","2","0","0","48","5","11","0","0","0"
"1998-01-28 06:50:00.0","0","2","0","0","31","0","0","0","0","0"
"1998-01-28 07:00:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-28 07:10:00.0","0","2","0","0","42","0","0","0","12","0"
"1998-01-28 07:20:00.0","0","26","0","0","62","0","0","0","10","0"
"1998-01-28 07:30:00.0","0","14","0","0","43","0","0","0","0","0"
"1998-01-28 07:40:00.0","0","2","0","0","31","0","0","0","0","0"
"1998-01-28 07:50:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-28 08:00:00.0","0","2","0","0","53","5","0","0","18","0"
"1998-01-28 08:10:00.0","0","13","12","0","92","30","3","0","4","0"
"1998-01-28 08:20:00.0","0","25","0","0","84","17","15","0","0","0"
"1998-01-28 08:30:00.0","0","5","7","0","75","18","14","0","0","0"
"1998-01-28 08:40:00.0","0","3","14","0","108","27","14","0","21","0"
"1998-01-28 08:50:00.0","0","2","0","0","60","19","15","0","0","0"
"1998-01-28 09:00:00.0","0","12","0","0","80","26","14","0","0","0"
"1998-01-28 09:10:00.0","0","24","0","0","228","48","15","0","0","0"
"1998-01-28 09:20:00.0","0","4","0","0","170","60","15","0","0","0"
"1998-01-28 09:30:00.0","0","2","0","0","224","54","13","0","21","0"
"1998-01-28 09:40:00.0","0","2","0","0","78","29","15","0","0","0"
"1998-01-28 09:50:00.0","0","4","0","0","59","17","13","0","0","0"
"1998-01-28 10:00:00.0","0","26","0","0","56","1","3","0","0","0"
"1998-01-28 10:10:00.0","0","12","0","0","48","0","0","0","6","0"
"1998-01-28 10:20:00.0","0","2","0","0","45","0","0","0","16","0"
"1998-01-28 10:30:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-28 10:40:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-28 10:50:00.0","0","18","0","0","46","0","0","0","0","0"
"1998-01-28 11:00:00.0","0","22","0","0","65","0","0","0","16","0"
"1998-01-28 11:10:00.0","0","3","0","0","38","0","0","0","6","0"
"1998-01-28 11:20:00.0","0","2","0","0","43","1","9","0","0","0"
"1998-01-28 11:30:00.0","0","2","5","0","50","0","15","0","0","0"
"1998-01-28 11:40:00.0","0","6","47","0","102","0","14","0","6","0"
"1998-01-28 11:50:00.0","0","26","6","0","90","0","14","0","16","0"
"1998-01-28 12:00:00.0","0","18","0","0","64","2","14","0","0","0"
"1998-01-28 12:10:00.0","0","2","0","0","57","3","14","5","0","0"
"1998-01-28 12:20:00.0","0","2","0","0","60","0","14","9","10","0"
"1998-01-28 12:30:00.0","0","2","0","0","53","0","13","10","10","0"
"1998-01-28 12:40:00.0","0","12","0","0","62","5","14","9","0","0"
"1998-01-28 12:50:00.0","0","24","21","0","101","0","14","10","0","0"
"1998-01-28 13:00:00.0","0","17","161","0","229","2","13","9","0","0"
"1998-01-28 13:10:00.0","0","2","14","0","86","1","13","9","21","0"
"1998-01-28 13:20:00.0","0","2","0","0","57","0","13","10","0","0"
"1998-01-28 13:30:00.0","0","6","0","0","56","1","15","10","0","0"
"1998-01-28 13:40:00.0","0","25","0","0","69","0","14","9","0","0"
"1998-01-28 13:50:00.0","0","24","67","0","150","2","14","13","8","0"
"1998-01-28 14:00:00.0","0","6","0","0","75","0","15","12","14","0"
"1998-01-28 14:10:00.0","0","2","0","0","51","1","15","9","0","0"
"1998-01-28 14:20:00.0","0","2","0","0","57","1","14","8","0","0"
"1998-01-28 14:30:00.0","0","16","0","0","74","0","15","13","1","0"
"1998-01-28 14:40:00.0","0","24","0","0","98","2","13","12","20","0"
"1998-01-28 14:50:00.0","0","10","0","0","66","0","14","13","0","0"
"1998-01-28 15:00:00.0","0","2","0","0","60","1","15","12","0","0"
"1998-01-28 15:10:00.0","0","2","0","0","59","0","15","12","0","0"
"1998-01-28 15:20:00.0","0","5","0","0","74","0","14","12","13","0"
"1998-01-28 15:30:00.0","0","26","0","0","82","1","13","6","9","0"
"1998-01-28 15:40:00.0","0","23","0","0","79","0","13","12","0","0"
"1998-01-28 15:50:00.0","0","5","0","0","63","0","15","12","0","0"
"1998-01-28 16:00:00.0","0","2","6","0","79","0","14","13","13","0"
"1998-01-28 16:10:00.0","0","2","0","0","69","0","14","12","9","0"
"1998-01-28 16:20:00.0","0","24","0","0","80","16","13","0","0","0"
"1998-01-28 16:30:00.0","0","23","0","0","69","1","15","0","0","0"
"1998-01-28 16:40:00.0","0","9","25","0","91","1","13","0","13","0"
"1998-01-28 16:50:00.0","0","2","0","0","62","0","13","0","16","0"
"1998-01-28 17:00:00.0","0","2","0","0","58","5","14","0","0","0"
"1998-01-28 17:10:00.0","0","13","0","0","103","20","14","0","12","0"
"1998-01-28 17:20:00.0","0","24","0","0","110","21","15","0","11","0"
"1998-01-28 17:30:00.0","0","19","0","0","93","16","14","0","0","0"
"1998-01-28 17:40:00.0","0","2","0","0","83","23","14","0","4","0"
"1998-01-28 17:50:00.0","0","2","0","0","108","30","14","0","18","0"
"1998-01-28 18:00:00.0","0","5","0","0","92","38","14","0","0","0"
"1998-01-28 18:10:00.0","0","25","0","0","102","39","14","0","0","0"
"1998-01-28 18:20:00.0","0","23","0","0","136","46","14","6","22","0"
"1998-01-28 18:30:00.0","0","5","0","0","87","35","15","4","0","0"
"1998-01-28 18:40:00.0","0","2","0","0","78","32","14","0","8","0"
"1998-01-28 18:50:00.0","0","2","0","0","107","21","13","0","15","34"
"1998-01-28 19:00:00.0","0","26","0","0","431","27","15","0","0","343"
"1998-01-28 19:10:00.0","0","23","0","0","322","16","14","0","0","253"
"1998-01-28 19:20:00.0","0","4","0","0","82","16","13","0","22","12"
"1998-01-28 19:30:00.0","0","3","0","0","140","39","14","0","0","13"
"1998-01-28 19:40:00.0","0","19","5","0","181","40","13","0","0","0"
"1998-01-28 19:50:00.0","0","23","4","0","131","44","14","1","13","0"
"1998-01-28 20:00:00.0","0","8","0","0","122","47","14","12","9","0"
"1998-01-28 20:10:00.0","0","2","0","0","102","42","14","12","0","0"
"1998-01-28 20:20:00.0","0","6","0","0","97","35","14","12","0","0"
"1998-01-28 20:30:00.0","0","25","0","0","144","43","14","11","21","0"
"1998-01-28 20:40:00.0","0","20","0","0","104","40","14","0","0","0"
"1998-01-28 20:50:00.0","0","2","0","0","68","21","14","0","0","0"
"1998-01-28 21:00:00.0","0","2","0","0","76","22","13","0","9","0"
"1998-01-28 21:10:00.0","0","9","0","0","84","21","14","0","13","0"
"1998-01-28 21:20:00.0","0","24","0","0","103","37","13","0","0","0"
"1998-01-28 21:30:00.0","0","11","0","0","79","26","13","0","0","0"
"1998-01-28 21:40:00.0","0","2","0","0","82","22","13","0","17","0"
"1998-01-28 21:50:00.0","0","2","0","0","71","21","13","0","4","0"
"1998-01-28 22:00:00.0","0","12","0","0","76","21","13","0","0","0"
"1998-01-28 22:10:00.0","0","24","0","0","87","21","12","0","1","0"
"1998-01-28 22:20:00.0","0","7","0","0","100","32","13","0","20","0"
"1998-01-28 22:30:00.0","0","2","0","0","66","21","14","0","0","0"
"1998-01-28 22:40:00.0","0","2","0","0","58","21","13","0","0","0"
"1998-01-28 22:50:00.0","0","16","0","0","80","12","14","0","9","0"
"1998-01-28 23:00:00.0","0","24","0","0","79","5","13","0","11","0"
"1998-01-28 23:10:00.0","0","3","0","0","52","5","13","0","0","0"
"1998-01-28 23:20:00.0","0","2","0","0","51","5","14","0","0","0"
"1998-01-28 23:30:00.0","0","2","0","0","64","6","11","0","15","0"
"1998-01-28 23:40:00.0","0","19","0","0","52","0","0","0","5","0"
"1998-01-28 23:50:00.0","0","22","0","0","50","0","0","0","0","0"
"1998-01-29 00:00:00.0","0","2","0","0","31","0","0","0","0","0"
"1998-01-29 00:10:00.0","0","2","0","0","38","0","0","0","20","0"
"1998-01-29 00:20:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-29 00:30:00.0","0","20","0","0","36","0","0","0","0","0"
"1998-01-29 00:40:00.0","0","21","0","0","41","0","0","0","5","0"
"1998-01-29 00:50:00.0","0","2","0","0","32","0","0","0","16","0"
"1998-01-29 01:00:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-29 01:10:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-29 01:20:00.0","0","19","0","0","44","0","0","0","9","0"
"1998-01-29 01:30:00.0","0","20","0","0","45","0","0","0","11","0"
"1998-01-29 01:40:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-29 01:50:00.0","0","2","0","0","20","0","0","0","0","0"
"1998-01-29 02:00:00.0","0","2","0","0","24","0","0","0","5","0"
"1998-01-29 02:10:00.0","0","19","0","0","48","0","0","0","15","0"
"1998-01-29 02:20:00.0","0","20","0","0","35","0","0","0","0","0"
"1998-01-29 02:30:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-29 02:40:00.0","0","2","0","0","21","0","0","0","1","0"
"1998-01-29 02:50:00.0","0","2","0","0","36","0","0","0","19","0"
