"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-30 21:50:00.0","0","18","0","0","478","47","14","15","0"
"1998-01-30 22:00:00.0","0","18","0","0","466","61","14","0","0"
"1998-01-30 22:10:00.0","0","17","0","0","605","56","14","0","149"
"1998-01-30 22:20:00.0","0","5","0","0","711","27","14","0","295"
"1998-01-30 22:30:00.0","0","3","0","0","690","15","15","0","283"
"1998-01-30 22:40:00.0","0","3","0","0","706","10","15","11","296"
"1998-01-30 22:50:00.0","0","3","0","0","449","0","15","18","44"
"1998-01-30 23:00:00.0","0","3","0","0","418","3","9","17","21"
"1998-01-30 23:10:00.0","0","15","0","0","395","0","0","17","16"
"1998-01-30 23:20:00.0","0","21","0","0","402","0","0","17","20"
"1998-01-30 23:30:00.0","0","20","0","0","403","0","0","16","19"
"1998-01-30 23:40:00.0","0","19","0","0","383","0","0","11","0"
"1998-01-30 23:50:00.0","0","19","0","0","371","0","0","0","0"
"1998-01-31 00:00:00.0","0","18","0","0","371","0","0","0","0"
"1998-01-31 00:10:00.0","0","18","0","0","371","0","0","0","0"
"1998-01-31 00:20:00.0","0","4","0","0","363","0","0","0","0"
"1998-01-31 00:30:00.0","0","3","0","0","372","0","0","15","0"
"1998-01-31 00:40:00.0","0","3","0","0","374","0","0","18","0"
"1998-01-31 00:50:00.0","0","3","0","0","374","0","0","17","0"
"1998-01-31 01:00:00.0","0","4","0","0","370","0","0","17","0"
"1998-01-31 01:10:00.0","0","12","0","0","379","0","0","17","0"
"1998-01-31 01:20:00.0","0","22","0","0","385","0","0","16","0"
"1998-01-31 01:30:00.0","0","20","0","0","377","0","0","8","0"
"1998-01-31 01:40:00.0","0","20","0","0","372","0","0","0","0"
"1998-01-31 01:50:00.0","0","19","0","0","371","0","0","0","0"
"1998-01-31 02:00:00.0","0","18","0","0","232","0","0","0","0"
"1998-01-31 02:10:00.0","0","19","0","0","23","0","0","1","0"
"1998-01-31 02:20:00.0","0","18","0","0","38","0","0","18","0"
"1998-01-31 02:30:00.0","0","13","0","0","34","0","0","18","0"
"1998-01-31 02:40:00.0","0","3","0","0","23","0","0","16","0"
"1998-01-31 02:50:00.0","0","4","0","0","24","0","0","17","0"
"1998-01-31 03:00:00.0","0","3","0","0","23","0","0","16","0"
"1998-01-31 03:10:00.0","0","3","0","0","23","0","0","16","0"
"1998-01-31 03:20:00.0","0","3","0","0","16","0","0","7","0"
"1998-01-31 03:30:00.0","0","12","0","0","17","0","0","0","0"
"1998-01-31 03:40:00.0","0","21","0","0","26","0","0","0","0"
"1998-01-31 03:50:00.0","0","21","0","0","25","0","0","0","0"
"1998-01-31 04:00:00.0","0","20","0","0","27","0","0","4","0"
"1998-01-31 04:10:00.0","0","19","0","0","40","0","0","18","0"
"1998-01-31 04:20:00.0","0","19","0","0","37","0","0","18","0"
"1998-01-31 04:30:00.0","0","18","0","0","37","0","0","17","0"
"1998-01-31 04:40:00.0","0","19","0","0","37","0","0","17","0"
"1998-01-31 04:50:00.0","0","18","0","0","36","0","0","16","0"
"1998-01-31 05:00:00.0","0","18","0","0","36","0","0","17","0"
"1998-01-31 05:10:00.0","0","18","0","0","25","0","0","3","0"
"1998-01-31 05:20:00.0","0","18","0","0","22","0","0","0","0"
"1998-01-31 05:30:00.0","0","11","0","0","17","0","0","0","0"
"1998-01-31 05:40:00.0","0","4","0","0","10","0","0","0","0"
"1998-01-31 05:50:00.0","0","3","0","0","20","0","0","11","0"
"1998-01-31 06:00:00.0","0","3","0","0","26","0","0","18","0"
"1998-01-31 06:10:00.0","0","4","0","0","25","0","0","18","0"
"1998-01-31 06:20:00.0","0","3","0","0","25","0","0","17","0"
"1998-01-31 06:30:00.0","0","5","0","0","26","0","0","17","0"
"1998-01-31 06:40:00.0","0","23","0","0","40","0","0","17","0"
"1998-01-31 06:50:00.0","0","21","0","0","39","1","0","16","0"
"1998-01-31 07:00:00.0","0","20","0","0","25","0","0","0","0"
