"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-25 02:00:00.0","14","3","0","0","31","0","0","0"
"1998-01-25 02:10:00.0","14","19","0","0","45","0","0","0"
"1998-01-25 02:20:00.0","15","20","0","0","47","0","0","0"
"1998-01-25 02:30:00.0","14","5","0","0","32","0","0","0"
"1998-01-25 02:40:00.0","13","14","0","0","40","0","0","0"
"1998-01-25 02:50:00.0","0","21","0","0","34","0","0","0"
"1998-01-25 03:00:00.0","0","8","0","0","23","0","0","0"
"1998-01-25 03:10:00.0","0","10","0","0","25","0","0","0"
"1998-01-25 03:20:00.0","12","21","0","0","46","0","0","0"
"1998-01-25 03:30:00.0","15","11","0","0","39","0","0","0"
"1998-01-25 03:40:00.0","15","8","0","0","36","0","0","0"
"1998-01-25 03:50:00.0","15","21","0","0","48","0","0","0"
"1998-01-25 04:00:00.0","14","14","0","0","41","0","0","0"
"1998-01-25 04:10:00.0","15","4","0","0","32","0","0","0"
"1998-01-25 04:20:00.0","14","22","0","0","49","0","0","0"
"1998-01-25 04:30:00.0","15","18","0","0","45","0","0","0"
"1998-01-25 04:40:00.0","14","3","0","0","31","0","0","0"
"1998-01-25 04:50:00.0","14","18","0","0","45","0","0","0"
"1998-01-25 05:00:00.0","14","20","0","0","47","0","0","0"
"1998-01-25 05:10:00.0","15","5","0","0","33","0","0","0"
"1998-01-25 05:20:00.0","14","14","0","0","42","0","0","0"
"1998-01-25 05:30:00.0","14","21","0","0","47","0","0","0"
"1998-01-25 05:40:00.0","7","9","0","0","30","0","0","0"
"1998-01-25 05:50:00.0","0","10","0","0","25","0","0","0"
"1998-01-25 06:00:00.0","0","21","0","0","35","0","0","0"
"1998-01-25 06:10:00.0","3","11","0","0","29","0","0","0"
"1998-01-25 06:20:00.0","15","8","0","0","37","0","0","0"
"1998-01-25 06:30:00.0","16","21","0","0","48","0","0","0"
"1998-01-25 06:40:00.0","15","14","0","0","41","0","0","0"
"1998-01-25 06:50:00.0","14","4","0","0","33","0","0","0"
"1998-01-25 07:00:00.0","15","22","0","0","49","0","0","0"
"1998-01-25 07:10:00.0","14","17","0","0","45","0","0","0"
"1998-01-25 07:20:00.0","15","4","0","0","32","0","0","0"
"1998-01-25 07:30:00.0","14","19","0","0","47","0","0","0"
"1998-01-25 07:40:00.0","15","21","0","0","47","0","0","0"
"1998-01-25 07:50:00.0","14","3","0","0","32","0","0","0"
"1998-01-25 08:00:00.0","14","15","0","0","42","0","0","0"
"1998-01-25 08:10:00.0","14","21","0","0","47","0","0","0"
"1998-01-25 08:20:00.0","15","8","0","0","35","0","0","0"
"1998-01-25 08:30:00.0","14","10","0","0","38","0","0","0"
"1998-01-25 08:40:00.0","14","21","0","0","48","1","0","0"
"1998-01-25 08:50:00.0","0","12","0","0","27","0","0","0"
"1998-01-25 09:00:00.0","0","6","0","0","23","2","0","0"
"1998-01-25 09:10:00.0","0","21","0","0","38","0","0","0"
"1998-01-25 09:20:00.0","11","17","0","0","53","1","0","0"
"1998-01-25 09:30:00.0","15","4","0","0","44","0","0","0"
"1998-01-25 09:40:00.0","15","18","0","16","204","6","0","124"
"1998-01-25 09:50:00.0","15","20","0","0","455","2","0","390"
"1998-01-25 10:00:00.0","14","5","0","0","440","5","0","391"
"1998-01-25 10:10:00.0","14","11","0","0","360","4","0","306"
"1998-01-25 10:20:00.0","15","21","0","0","83","5","0","33"
"1998-01-25 10:30:00.0","14","13","0","0","76","5","0","30"
